control_input_name,source_file/function,value_type,how_it_is_computed,where_it_is_consumed,whether_it_can_override_analyzer,whether_it_can_deny_a_switch,whether_it_can_stop_the_run,whether_it_can_block_reentry,whether_it_is_likely_stale_/_legacy_/_underpowered
"decision_pressure","router/routing/feature_extraction.py:extract_routing_features","int (0-10)","Count lexical matches for decision/tradeoff markers; clamp to 10; negated closure phrases remove some positive decision hits.","router/analyzer.py:decision_from_analysis (demotes OPERATOR->EXPLORATION if 0 and no decision markers); router/runtime/state_updater.py:build_router_state (stored on state)","Yes (can demote analyzer primary stage)","No","No (indirect only)","No","Medium risk: purely lexical token counting; no context weighting."
"evidence_demand","router/routing/feature_extraction.py:extract_routing_features","int (0-10)","Count matches for evidence + uncertainty + characterization uncertainty markers; clamp to 10.","router/runtime/planner.py:should_fastpath_direct guard (blocks direct fastpath when both evidence_demand and decision_pressure are >0); router/runtime/state_updater.py:build_router_state (stored as evidence_quality)","No direct analyzer override","No","No direct stop","No","Medium: lexical and broad terms; can under/over-fire."
"fragility_pressure","router/routing/feature_extraction.py:extract_routing_features","int (0-10)","Count fragility/stress-test/risk markers + launch/trust markers; clamp to 10.","router/analyzer.py:decision_from_analysis (demotes ADVERSARIAL->EXPLORATION if 0); router/runtime/planner.py:should_fastpath_direct (blocks direct fastpath if >0)","Yes (can demote analyzer primary stage)","No","No direct stop","No","Medium: term-list driven, may miss implicit fragility."
"recurrence_potential","router/routing/feature_extraction.py:extract_routing_features","int (0-10)","Weighted lexical count: 2*strong recurrence hits + 2*builder hits; generic 'pattern' tracked in markers but not scored; clamp to 10.","router/analyzer.py:decision_from_analysis (demotes BUILDER primary and BUILDER endpoint when 0); router/orchestration/transition_rules.py:next_stage (OPERATOR->BUILDER if completion and >=2.0); router/orchestration/stop_policy.py:_builder_blocked (blocks BUILDER recommendation if <7); router/runtime/state_updater.py:build_router_state (stored)","Yes (directly demotes analyzer builder selections)","Yes (builder switch can be denied by stop policy threshold)","Yes (builder blocked reason can end orchestration loop)","Indirect (prevents some forward moves, not reentry check itself)","High: two thresholds (>=2 for transition, >=7 for builder gate) create inconsistent authority from a lexical score."
"possibility_space_need","router/routing/feature_extraction.py:extract_routing_features","int (0-10)","Count possibility/open-space and anti-convergence markers; clamp to 10; some negated closure tokens are merged into anti-convergence markers.","No material consumption found in inspected orchestration/runtime files (presented to analyzer prompt as context only).","No","No","No","No","High stale/underpowered risk: computed and surfaced but not behaviorally wired downstream in inspected path."
"structural_signals","router/routing/feature_extraction.py:extract_routing_features","list[str]","Deterministic conjunction checks for expansion-when-defined, concrete-too-small, parts/whole mismatch families.","router/runtime/planner.py (default task_signals if none provided); router/analyzer.py:_build_user_prompt (fed to analyzer); router/runtime/state_updater.py:build_router_state (added to assumptions text)","No direct override","No","No","No","Medium-high: primarily prompt/context decoration; limited hard-control usage."
"detected_markers","router/routing/feature_extraction.py:extract_routing_features","dict[str, list[str]]","Stores matched lexical marker groups by thematic family (uncertainty, decision, fragility, recurrence, possibility, etc.).","router/analyzer.py:decision_from_analysis (uses decision_tradeoff_commitment presence to avoid over-demotion of OPERATOR); router/analyzer.py:_build_user_prompt (full marker map sent to analyzer)","Yes, narrowly (decision marker presence can preserve OPERATOR recommendation)","No","No","No","Low-medium: one key has leverage; rest mostly analyzer context."
"analyzer stage_scores","router/analyzer.py:TaskAnalyzer.analyze (LLM JSON)","dict[Stage,float]","Model-generated stage score vector validated/parsing repaired; then ranked in decision_from_analysis.","router/analyzer.py:decision_from_analysis (selects primary and runner-up regime)","Primary source of analyzer route (subject to deterministic demotions)","Indirect only","Indirect only","No","Medium: LLM-derived; but clamped by deterministic guardrails."
"analyzer confidence","router/analyzer.py:TaskAnalyzer.analyze (LLM JSON)","float 0..1","Model-estimated confidence, then bucketed into high/medium/low in decision_from_analysis; also used in direct fastpath predicate.","router/analyzer.py:decision_from_analysis (confidence metadata); router/runtime/planner.py:should_fastpath_direct (>0.9 required)","No direct override of chosen stage, but influences fastpath behavior","No","Indirect (can alter whether orchestration is bypassed via direct path)","No","Medium-high: one scalar gates direct fastpath with very high threshold and no calibration check."
"analyzer likely_endpoint_regime","router/analyzer.py:TaskAnalyzer.analyze (LLM JSON)","Stage enum string","Model-proposed endpoint stage; clamped in decision_from_analysis to not precede primary and demoted BUILDER->OPERATOR if recurrence_potential==0.","router/analyzer.py:decision_from_analysis (route metadata); router/orchestration/stop_policy.py:_endpoint_stage (stop target selection via routing_decision)","Partially (can be clamped/demoted by deterministic rules)","No","Yes (stop policy halts when artifact complete at/past endpoint)","No","Medium: influential for stopping horizon; somewhat protected by clamping."
